     39 Trampled by Turtles
     39 The Notorious B.I.G.
     39 Rob Zombie
     39 Pinkfong
     39 Papon
     39 Noisia
     39 Mumuzinho
     39 Kumar Sanu
     39 keshi
     39 Ilaiyaraaja
     39 Giuseppe Verdi
     39 ENHYPEN
     39 Cyclo
     39 Beenie Man
     38 Weißes Rauschen HD
     38 Swedish House Mafia
     38 Sunidhi Chauhan
     38 Plastilina Mosh
     38 Malon
     38 Louis Armstrong
     38 Kevin Saunderson
     38 Josh Groban
     38 Jorge Aragão
     38 Jack Hartmann
     38 Hardwell
     38 George Winston
     38 Frankie Knuckles
     38 Felix Da Housecat
     38 Exaltasamba
     38 Ellie Goulding
     38 Chase & Status
     38 Atif Aslam
     37 サザンオールスターズ
     37 Röyksopp
     37 Passion
     37 NMB48
     37 Najim Arshad
     37 Morcheeba
     37 Moodymann
     37 Los Baby's
     37 Krewella
     37 Imagine Dragons
     37 Idina Menzel
     37 Hiroyuki Sawano
     37 Gerson Rufino
     37 Calvin Harris
     37 Blondie
     37 Babasónicos
     37 Anupam Roy
     37 Adriana Varela
     36 Vini Vici
     36 Thiaguinho
     36 Ten City
     36 Tammy Wynette
     36 Super Simple Songs
     36 Rival Consoles
     36 Ricardo Iorio
     36 Pablo
     36 Nathan Dawe
     36 Mortician
     36 Linn da Quebrada
     36 Jason Derulo
     36 Gilberto Santa Rosa
     36 Floyd Cramer
     36 Five Finger Death Punch
     36 Fäaschtbänkler
     36 Brennan Heart
     36 Andreas Gabalier
     35 WowKidz
     35 Tony O'Connor
     35 Spuntic
     35 Riff
     35 Pitty
     35 Paul Elstak
     35 Octave One
     35 Mohit Chauhan
     35 Mavado
     35 Mandragora
     35 Mägo de Oz
     35 Maelo Ruiz
     35 Lin-Manuel Miranda
     35 K. S. Harisankar
     35 John Mayer
     35 JJ Lin
     35 I Prevail
     35 Enrique Guzman
     35 Dusty Decks
     35 Cigarettes After Sex
     35 Carcass
     35 Brings
     34 The Lemonheads
     34 Ralphi Rosario
     34 Neophyte
     34 Michael W. Smith
     34 Mia Julia
     34 Mabel
     34 Los Fabulosos Cadillacs
     34 Lil Peep
     34 Grupo Revelação
     34 Everything But The Girl
     34 Ernest Tubb
     34 Eduardo Costa
     34 DJ Ötzi
     34 Dilsinho
     34 Desmond Dennis
     34 Cuco Sánchez
     34 Bazzi
     33 Wizkid
     33 Wisin & Yandel
     33 William Luna
     33 Ty Dolla $ign
     33 Surgeon
     33 Snoop Dogg
     33 Ron Trent
